m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
m,v,v,v,v,v,v,v,v,v,v,v,v,v,v,d,v,v,v,v,v,v,v,v,v,v,v,v,v,v,m
m,v,d,d,d,d,d,d,v,d,d,d,d,d,v,d,v,d,d,d,d,d,v,d,d,d,d,d,d,v,m
m,v,v,v,v,v,v,v,v,d,v,v,v,d,v,d,v,d,v,v,v,d,v,v,v,v,v,v,v,v,m
m,d,d,d,d,d,d,d,v,d,d,v,d,d,v,d,v,d,d,v,d,d,v,d,d,d,d,d,d,d,m
m,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,m
m,d,d,d,v,d,d,d,v,d,v,d,d,d,v,d,v,d,d,d,v,d,v,d,d,d,v,d,d,d,m
m,v,v,v,v,v,v,v,v,d,v,d,v,d,v,d,v,d,v,d,v,d,v,v,v,v,v,v,v,v,m
m,d,d,d,v,d,d,d,v,d,v,d,v,d,v,d,v,d,v,d,v,d,v,d,d,d,v,d,d,d,m
m,v,v,v,v,v,v,v,v,d,v,d,v,d,v,d,v,d,v,d,v,d,v,v,v,v,v,v,v,v,m
m,v,d,d,d,d,d,d,v,d,v,d,v,d,v,d,v,d,v,d,v,d,v,d,d,d,d,d,d,v,m
m,v,v,v,v,v,v,d,v,d,d,d,v,d,v,d,v,d,v,d,d,d,v,d,v,v,v,v,v,v,m
m,d,d,d,d,d,v,d,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,d,v,d,d,d,d,d,m
m,v,v,v,v,v,v,d,v,d,d,d,v,m,m,s,m,m,v,d,d,d,v,d,v,v,v,v,v,v,m
m,v,d,d,d,d,d,d,v,d,v,d,v,m,j,j,j,m,v,d,v,d,v,d,d,d,d,d,d,v,m
m,v,v,v,v,v,v,v,v,d,v,d,v,m,j,j,j,m,v,d,v,d,v,v,v,v,v,v,v,v,m
m,d,d,d,d,d,d,d,v,d,v,d,v,m,j,j,j,m,v,d,v,d,v,d,d,d,d,d,d,d,m
m,v,v,v,v,v,v,v,v,d,v,d,v,m,m,m,m,m,v,d,v,d,v,v,v,v,v,v,v,v,m
m,v,d,d,d,d,d,d,v,d,v,d,v,v,v,v,v,v,v,d,v,d,v,d,d,d,d,d,d,v,m
m,v,d,v,v,v,v,v,v,d,v,d,d,d,d,v,d,d,d,d,v,d,v,v,v,v,v,v,d,v,m
m,v,d,v,d,d,d,d,v,d,v,v,v,v,d,v,d,v,v,v,v,d,v,d,d,d,d,v,d,v,m
m,v,d,v,d,v,v,v,v,d,v,d,v,v,d,v,d,v,v,d,v,d,v,v,v,v,d,v,d,v,m
m,v,d,v,d,d,d,d,v,d,v,d,v,d,d,v,d,d,v,d,v,d,v,d,d,d,d,v,d,v,m
m,v,v,v,v,v,v,d,v,d,v,v,v,d,v,v,v,d,v,v,v,d,v,d,v,v,v,v,v,v,m
m,v,d,d,d,d,v,d,v,d,v,d,d,d,v,d,v,d,d,d,v,d,v,d,v,d,d,d,d,v,m
m,v,v,v,v,v,v,d,v,v,v,d,v,v,v,v,v,v,v,d,v,v,v,d,v,v,v,v,v,v,m
m,v,d,v,d,d,v,d,v,d,d,d,v,d,d,v,d,d,v,d,d,d,v,d,v,d,d,v,d,v,m
m,v,d,v,d,v,v,d,v,d,v,v,v,d,v,v,v,d,v,v,v,d,v,d,v,v,d,v,d,v,m
m,d,d,v,d,d,d,d,v,d,v,d,d,d,d,d,d,d,d,d,v,d,v,d,d,d,d,v,d,d,m
m,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,m
m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m